Judul,Gambar,Sumber Gambar,Alat dan Bahan,Langkah,Jenis,Sumber Artikel,Artikel Serupa
Tas Belanja Kaos Bekas,tas_belanja_kaos_bekas.jpg,patternpile.com,"['Kaos bekas', 'Gunting', 'Jarum dan benang']","['Buat sebuah garis bantu berbentuk lengkung pada bahan kaos untuk memisahkan bagian badan dengan lengan dan garis leher kaos.', 'Potong kaos sesuai garis pola kemudian jahit bekas potongannya dari bagian buruk bahan kaos.', 'Buat dua buah lubang pada bagian mulut tas sebagai pegangan dengan cara membuat sayatan kecil seukuran lebar tangan Anda.', 'Untuk memberikan efek yang menarik, lubangi beberapa bagian tas secara teratur menggunakan gunting kain yang tajam.', 'Dengan cara seperti ini, maka Anda akan mendapatkan tas belanja yang cantik dan lain dari biasanya.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Tote Bag Kaos Bekas', 'Kantung Koin Dari Kaos Bekas', 'Gelang Kaos Bekas', 'Syal Dari Kaos Bekas', 'Boneka Kaos Bekas']"
Boneka Kaos Bekas,boneka_kaos_bekas.jpg,theurbanmama.com,"['Kaos bekas dengan gambar yang menarik', 'Jarum jahit tangan', 'Gunting', 'Dakron']","['Potong gambar yang ada pada bahan kaos bekas Anda dengan menambahkan sedikit kelebihan bahan sebagai kampuhnya.', 'Jiplak potongan bahan yang bergambar pada sisi kaos yang lain kemudian gunting.', 'Susun kedua potongan bahan tersebut agar saling bertumpuk dengan posisi bagian baik keduanya saling berhadapan.', 'Jahit sepanjang tepi bahan dengan menggunakan jarum jahit tangan tapi sisakan sedikit celah untuk membaliknya.', 'Balikkan bahan yang sudah selesai dijahit kemudian isikan dakron ke dalamnya.', 'Tutup kembali celah yang Anda gunakan untuk memasukkan dakron kemudian rapikan.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Gelang Kaos Bekas', 'Selimut Kaos Bekas', 'Tas Belanja Kaos Bekas', 'Syal Dari Kaos Bekas', 'Tote Bag Kaos Bekas']"
Selimut Kaos Bekas,selimut_kaos_bekas.jpg,nextechclassifieds.com,"['Kaos bekas yang sudah tidak dipakai lagi (bisa 20 kaos atau lebih)', 'Gunting kain', 'Kertas', 'Kapur jahit', 'Mesin jahit', 'Dakron (opsional)', 'Kain furing (opsional)']","['Buat pola berbentuk persegi pada selembar kertas dengan ukuran 40cm x 40cm.', 'Bentangkan kaos dilantai kemudian letakkan pola kertas di atas kaos.', 'Tandai bahan kaos dengan kapur jahit lalu buatlah potongan sesuai pola dengan menggunakan gunting.', 'Setelah semua kaos sudah dipotong menjadi sejumlah kotak, buatlah renda di sekeliling kain kaos dengan cara menggunting tepiannya.', 'Satukan setiap sisi kain kaos secara bersusun kemudian sematkan jarum pentul untuk menahan posisinya agar tidak bergeser.', 'Jahit setiap sambungan sisi bahan melalui bagian baik masing-masing bahan dengan mesin jahit hingga terbentuk lembaran selimut yang berukuran besar.', 'Sebagai penyelesaian akhir, Anda bisa juga menambahkan dakron sebagai isian selimut dan juga kain furing kemudian jahit bahan tersebut dengan teknik quilting.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Syal Dari Kaos Bekas', 'Tote Bag Kaos Bekas', 'Boneka Kaos Bekas', 'Kantung Koin Dari Kaos Bekas', 'Gelang Kaos Bekas']"
Masker dari kain perca,masker_dari_kain_perca.jpg,AidoHealth,"['Kain perca secukupnya', 'Kain penutup ukuran 55cm x 140cm', 'Benang', 'Tali masker', 'Jarum pentul', 'Gunting', 'Mesin jahit']","['Siapkan alat dan bahan.', 'Buat pola yang diinginkan.', 'Potong kain perca dengan pola berbeda dengan bentuk dan ukuran yang sama agar sesuai dengan pola yang dibuat.', 'Untuk membuat masker kain menarik, gabungkan warna dan pola yang lebih kontras.', 'Kemudian satukan potongan kain perca yang tebal menjadi satu dengan tali masker sebagai pengaitnya.', 'Masker kain siap digunakan.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Bandana dari Kain Perca', 'Bandana kain perca', 'Membuat Keset dari Kain Perca dengan Menyulam', 'Membuat Keset dari Kain Perca dengan Kawat Kasa', 'Selimut dari kain perca']"
Tas Jinjing dari Kain Perca,tas_jinjing_dari_kain_perca.jpg,Fitinline,"['Berbagai sampel dari kain perca secukupnya', 'Karpet dekoratif/kain felt 1m²', 'Kain bunga 1 m²', 'Bahan katun sesuai permintaan', 'Benang', 'Jarum pentul', 'Ritsleting', 'Mesin jahit', 'Gunting']","['Langkah pertama adalah memotong kain perca sesuai ukuran dan bentuk yang diinginkan.', 'Kemudian gabungkan kain perca dengan kain perca lain dengan menjahit.', 'Untuk hasil maksimal, gabungkan warna dan pola yang lebih kontras.', 'Jahit seluruh bahan perca dengan hati-hati hingga membentuk persegi panjang dengan ukuran maksimal 50 cm x 50 cm.', 'Kemudian, potong kain felt dengan dimensi 50 cm x 100 cm.', 'Gabungkan kain blacu, kain katun, dan kain flanel, jahit menjadi tas berukuran 50cm x 50cm.', 'Untuk membuat strap bahu dari tas, buatlah dari bahan kombinasi katun dan kain katun dengan dimensi 10 cm x 100 cm. Kemudian, pasang resleting ke tas.', 'Kemudian kencangkan jahitan tambal sulam di sisi yang diinginkan.', 'Tas siap digunakan.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Tote Bag dari Kain Perca', 'Selimut dari kain perca', 'Taplak Meja dari Kain Perca', 'Bandana kain perca', 'Bandana dari Kain Perca']"
Tas Rias Make Up,tas_rias_make_up.jpg,Fitinline,"['Kain perca secukupnya', 'Kain katun secukupnya', 'Ukuran lembaran flanel 20 x 40 cm', 'Benang', 'Jarum Pentul', 'Ritsleting', 'Gunting', 'Mesin jahit']","['Gunting kain perca', 'Pertama, potong kain perca sesuai pola dengan ukuran dan bentuk yang sama.', 'Jahit untuk membentuk segi empat', 'Kemudian jahit dengan hati-hati hingga membentuk persegi panjang dengan ukuran maksimal 40 cm x 20 cm.', 'Buat tas dengan kombinasi kain perca', 'Gabungkan kain perca, katun, dan kain kempa untuk membentuk tas berukuran 20cm x 20cm.', 'Buat tali kecil', 'Lalu, buat tali kecil untuk membuat gantungan tas berukuran 3 cm x 20 cm', 'Atur ritsleting', 'Pengikatan rantai dilakukan di ujung tas.', 'Kemudian jahit resletingnya.', 'Selesai penutup', 'Tas rias tambal sulam siap digunakan.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Tas Tangan Lucu', 'Tas Belanja Kaos Bekas', 'Kotak Pensil', 'Tas Jinjing dari Kain Perca', 'Tote Bag Kaos Bekas']"
Selimut dari kain perca,selimut_dari_kain_perca.jpg,m.apdut.com,"['Gunting', 'Sepotong kain perca', 'Dacron', 'Benang', 'Jarum']","['Jika memungkinkan potong kain perca dengan motif yang berbeda dengan ukuran yang sama dan jika memungkinkan tambahkan 1 cm pada kedua sisinya.', 'Atur potongan-potongan ini di wadah besar sesuai kebutuhan.', 'Atur panel kain di belakang, dacron, lalu kain depan.', 'Jahit di sekeliling tepinya.', 'Potong empat potong kain untuk tepinya, lalu jahit ke tepi selimut.', 'Buat jahitan terbalik pada kain di sepanjang jahitan di antara campuran, atau Anda bisa menggunakan pola lain.', 'Selimut dari kain perca siap digunakan']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Taplak Meja dari Kain Perca', 'Membuat Keset dari Kain Perca dengan Menyulam', 'Membuat Keset dari Kain Perca dengan Kawat Kasa', 'Membuat Bros dari Kain Perca', 'Tote Bag dari Kain Perca']"
Sarung bantal,sarung_bantal.jpg,ShuntMagetan,"['Kain perca (motif/bebas)', 'Gunting', 'Penggaris', 'Jarum', 'Benang', 'Busa bekas', 'Aksesoris pelengkap (pita, resleting, kancing, tali sepatu, payet, dll)']","['Sebagai langkah awal, Anda harus mengukur terlebih dahulu panjang dan lebar bantal. Jika ukuran standarnya adalah 30×30 cm.', 'Kemudian ukur dan potong campuran menjadi 12″ x 12″ atau Anda dapat mencampur dan mencocokkan 3, 4 atau 5 pola dan desain.', 'Setelah itu buatlah beberapa kain perca agar dapat memperkuat daya tahan kain perca tersebut agar nantinya tidak mudah robek.', 'Kemudian buat 2 sisi, yaitu. depan dan belakang, lalu jahit, sisakan bagian atas untuk ritsleting dan isian busa.', 'Selanjutnya, ukur dan jahit resletingnya, buat sarung bantal menjadi lebih unik dan menyenangkan.', 'Selain itu, Anda juga bisa menempelkan aksesoris seperti pita, tali dan kancing pada bagian tengah, kanan dan kiri bantal. Kemudian Anda bisa langsung meletakkan busa tersebut di atas bantal.', 'Sarung bantal dari kain perca pun siap digunakan.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Tempat Tidur Boneka', 'Kotak Tisu', 'Selimut dari kain perca', 'Tote Bag dari Kain Perca', 'Tas Jinjing dari Kain Perca']"
Sarung kabel,Sarung kabel.jpg,TamanKreasi,"['Kain perca dan pola sederhana', 'Kain kaku dengan berat sedang', 'Velcro', 'Alat ukur', 'Benang', 'Gunting', 'Mesin jahit']","['Potong pola kain perca, kain polos kasar berukuran 10 x 8 cm.', 'Pilih kain polos dengan pola dan warna yang tepat agar simpul kita terlihat lebih baik.', 'Kemudian potong juga velcro dengan ukuran 3 x 2 cm. Jika ukuran Velco terlalu besar, ukurannya bisa disesuaikan kembali dengan kain perca yang kita potong.', 'Rekatkan kain kaku ke kain perca dengan memanaskannya dengan setrika.', 'Saat merekatkan kain keras untuk kain perca, perhatikan posisi lemnya, jangan bingung. Jika tidak, kain yang kaku dapat menempel pada setrika.', 'Tumpuk kain bermotif dan kain kaku yang telah diikat menjadi satu dengan kain polos. Kemudian jahit sekelilingnya, biarkan terbuka 5 cm untuk membalikkan kain.', 'Sebelum membaliknya, selipkan kelebihan kain di sekelilingnya.', 'Setelah membalik kain, jahit sekelilingnya dan potong.', 'Terakhir, jahit velcro ke bagian depan dan belakang kain.', 'Ini adalah sarung kabel cantik yang membuat headphone atau pengisi daya Anda tetap bersih saat Anda pergi ke mana pun.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Sarung Kabel dari Kain Perca', 'Lampu Gantung', 'Tempat Lilin', 'Lampu Hias dari Kardus Bekas', 'Lentera Dari Kaleng']"
Taplak Meja dari Kain Perca,taplak_meja_dari_kain_perca.jpg,cdn.pixabay.com,"['Kain perca dengan berbagai warna dan motif', 'Gunting', 'Jarum dan benang jahit atau mesin jahit', 'Renda']","['Potong semua kain perca menjadi satu ukuran yang sama. Ukuran ini bisa disesuaikan dengan ukuran taplak meja yang diinginkan.', 'Gunakan teknik patchwork dengan menyatukan potongan kain tadi menggunakan jarum dan benang jahit atau mesin jahit.', 'Setelah semua potongan kain tersambung, pasang renda mengelilingi taplak meja agar terlihat lebih menarik.', 'Taplak meja pun sudah jadi.']",kain,https://kumparan.com/popy-laras-puspita/memanfaatkan-limbah-kain-perca-menjadi-kerajinan-1x28YiIp0lV/full,"['Selimut dari kain perca', 'Membuat Keset dari Kain Perca dengan Kawat Kasa', 'Membuat Keset dari Kain Perca dengan Menyulam', 'Membuat Bros dari Kain Perca', 'Bandana kain perca']"
Membuat Benang dari Kaos,membuat_benang_dari_kaos.jpg,Pinterest,"['Kaos bekas', 'Gunting']","['Pilih kaos dan letakkan rata di permukaan kerja.', 'Potong lengan dan kerah kaos, menyisakan potongan kain berbentuk persegi panjang.', 'Buat Tabung Benang, Lipat potongan kain persegi panjang menjadi dua memanjang, membentuk strip panjang dan tipis.', 'Jahit tepi kain yang terlipat untuk membentuk tabung.', 'Mulailah dari salah satu ujung tabung kain, buat serangkaian sayatan vertikal di sepanjang sisi tabung. Sayatan harus berjarang sama dan sekitar 1-2 inci.', 'Setelah sayatan selesai, buat potongan diagonal dari tepi luar tabung kain ke arah sayatan. Potong miring, membentuk bentuk V di antara sayatan.', 'Pegang tabung kain di kedua ujungnya dan tarik perlahan-lahan. Saat Anda meregangkan, kain akan mulai menggulung dan menggulung, membentuk untaian benang yang terus menerus.', 'Saat Anda terus meregangkan kain, gulung benang dengan hati-hati menjadi bola. Jaga ketegangan yang stabil untuk memastikan benang tetap halus dan rata.']",kain,https://ecomaniac.org/recycle-clothes-ideas/,"['Membuat Wadah Unik dari Kaos Bekas', 'Gelang Kaos Bekas', 'Selimut Kaos Bekas', 'Kantung Koin Dari Kaos Bekas', 'Syal Dari Kaos Bekas']"
Bandana kain perca,bandana_kain_perca.jpg,Fimela,"['Kain perca bahan satin', 'Kancing motif', 'Jarum + benang', 'Karet elastis', 'Gunting', 'Lem panas', 'Sebuah lilin', 'Setrika']","['Potong 2 lembar kain dengan lebar +5 cm dan panjang mengikuti panjang kaos/kemeja.', 'Buat bentuk ikan dari satu potong.', 'Potongan lain ditempatkan di atas dengan arah berlawanan.', 'Sisi kiri bawah ditempatkan di bawah lipatan kain.', 'Sisi kanan atas diselipkan ke haluan sehingga simpulnya terkunci.', 'Potong keempat sisinya sehingga panjangnya sama.', 'Jangan lupa sesuaikan diameter kepala bayi. Jika kurang panjang, lanjutkan dengan materi lain yang tersedia.', 'Jika Anda memiliki panjang yang sama, satukan dan bungkus keempat sisinya.', 'Kemudian jahit dengan warna yang sama.', 'Bandana yang cantik pun siap digunakan.']",kain,https://www.gramedia.com/best-seller/kerajinan-dari-bahan-perca/,"['Bandana kain perca', 'Membuat Bros dari Kain Perca', 'Masker dari kain perca', 'Taplak Meja dari Kain Perca', 'Membuat Keset dari Kain Perca dengan Menyulam']"
Membuat Bros dari Kain Perca,membuat_bros_dari_kain_perca.jpg,lazada.co.id,"['Kain perca', 'Gunting', 'Jarum dan benang', 'Karet atau peniti']","['Gunakan kain perca dengan warna dan motif yang menarik.', 'Kombinasikan berbagai warna dan motif untuk membuat desain yang unik.', 'Potong kain perca sesuai dengan pola yang diinginkan.', 'Jahit kain perca menjadi satu.', 'Tambahkan karet atau peniti pada bagian belakang kain perca.', 'Lem karet atau peniti ke kain perca.', 'Tambahkan hiasan, seperti manik-manik atau payet, untuk mempercantik aksesoris.']",kain,https://www.romadecade.org/kerajinan-dari-kain-perca/#!,"['Membuat Keset dari Kain Perca dengan Menyulam', 'Membuat Keset dari Kain Perca dengan Kawat Kasa', 'Taplak Meja dari Kain Perca', 'Bandana dari Kain Perca', 'Bandana kain perca']"
Gantungan Kunci dari Kain Perca,gantungan_kunci_dari_kain_perca.jpg,liputan6.com,"['Kain perca', 'Gunting', 'Jarum dan benang', 'Gantungan kunci']","['Potong kain perca sesuai dengan pola yang diinginkan.', 'Jahit sisi pinggir kain perca.', 'Tambahkan gantungan kunci ke bagian belakang kain perca.']",kain,https://www.romadecade.org/kerajinan-dari-kain-perca/#!,"['Membuat Bros dari Kain Perca', 'Gantungan Kunci dari komponen Elektronik', 'Selimut dari kain perca', 'Tote Bag dari Kain Perca', 'Tas Jinjing dari Kain Perca']"
Gorden Dari Kain Perca Yang Sederhana,gorden_dari_kain_perca_yang_sederhana.jpg,-,"['Gunting', 'Mesin jahit', 'Besi', 'Kain bermotif unik', 'Pita', 'Pin/jarum', 'Benang', 'Pensil', 'Pita ukur']","['Ukur tinggi dan lebar jendela. Tambahkan ukuran kainnya sepanjang 12 cm untuk panjangnya dan 4 cm untuk lebarnya.', 'Potong kain perca menjadi bentuk persegi dengan ukuran yang sama.', 'Lipat setiap sisi kain untuk membuat tampilannya lebih rapi. Jepit dengan jarum atau pin untuk menjahitnya. Gunakan setrika untuk menciptakan lipatannya. Terapkan ini di masing-masing sisi.', 'Buat lipatan di bagian bawah dengan ukuran yang lebih besar. Bagian ini nantinya menjadi tempat untuk besi pemberat. Pastikan pula jahitannya kuat.', 'Buat juga lipatan di bagian atas untuk tempat menggeser batang tirai.', 'Pasang besi pemberat di bagian bawah gorden. Kemudian, pasang gorden pada batang tirai.', 'Jika kamu masih membutuhkan hiasan untuk gordenmu, maka bisa memakai pita hias. Tempatkan pita hias di bagian tengah sebagai pemanis dan pengikat gorden.']",kain,https://berita.99.co/cara-membuat-gorden-kain-perca/,"['Taplak Meja dari Kain Perca', 'Selimut dari kain perca', 'Masker dari kain perca', 'Sarung Kabel dari Kain Perca', 'Membuat Keset dari Kain Perca dengan Menyulam']"
Membuat Wadah Unik dari Kaos Bekas,membuat_wadah_unik_dari_kaos_bekas.jpg,-,"['3 Bola tali kaos berwarna biru (warna bisa sesuai selera)', '3 Bola tali kaos berwarna putih (warna bisa sesuai selera)', 'Jarum jahit dan benang', 'Gunting', 'Meteran atau penggaris untuk mengukur']","['Kepang atau kelabang semua tali kaos menjadi dua paduan warna.', 'Pastikan tali kepang memiliki ukuran yang sama agar wadah terlihat rapi.', 'Buatlah susunan melingkar seperti obat nyamuk dengan ukuran lebar 15cm. Bulatan yang dibuat ini merupakan wadah dasar.', 'Setelah itu, jahit pada beberapa posisi agar dasar wadah tersebut tidak terbuka lagi.', 'Buat tali kepang berputar mengelilingi bulatan dasar terus bertumpuk menuju ke atas', 'Jangan lupa juga untuk jahit beberapa posisi setiap putaran agar lilitan tidak jatuh.', 'Buat kurang lebih 10 lilitan bertumpuk atau sampai bahan yang kita miliki habis pada bagian ujungnya', 'Terakhir, jahit agar kuat dan tidak lepas. Wadah unik yang terbuat dari kaos bekaspun jadi dan sudah bisa kita gunakan.']",kain,https://kerajinaniat.blogspot.com/2017/02/cara-mudah-membuat-wadah-unik-dari-kaos.html,"['Membuat Benang dari Kaos', 'Kantung Koin Dari Kaos Bekas', 'Cermin Hias unik', 'Celengan unik dari Kardus', 'Selimut Kaos Bekas']"
